#type, name, apparent magnitude, declination, right ascension, distance(pc), radius(R_sun/AU/ly)
star,V886 Centauri,14,-494801.2,123849.93,16,0.0057
star,Cygnus X-1,8.95,351205.7783,195821.67595,1900,21
star,EBLM J0555-57,9.98,571726.064,055532.6868,190,0.99
star,GY Andromedae,6.36,452358.9357,013831.82552,141,2.6
star,P Cygni,4.82,380158.549,201747.202,1560,76
star,Winnecke 4 A,9.64,058458.549,122212.5272,311,4.48
star,Winnecke 4 B,10.11,058510.366,122218.9992,470,1.1
star,R136a1,12.23,690602.91,053842.39,49.970,42700
star,Alpha Centauri A,0.01,605002.3737,143936.49400,1.3398481,1.2175
star,Alpha Centauri B,1.33,605015.0992,143935.06311,1.339848,0.8591
star,Sirius A,-1.47,-164258.02,064508.917,2.670,1.711
star,Vega,0.026,384701.2802,183656.33635,7.68,2.362
star,Pollux,1.14,280134.3160,074518.94987,10.36,9.06
star,Arcturus,-0.05,191056,141539.7,11.26,25.4
star,Aldebaran,0.75,163033.4885,043555.23907,20,45.1
star,Gamma Crucis,1.64,570647.5684,123109.95961,27.2,120
star,Bellatrix,1.64,062058.9318,052507.86325,77,5.75
star,Betelgeuse,0.58,072425.4304,055510.30536,168.1,764
star,Polaris Aa,1.98,891550.8,023149.09,133,37.5
star,47 Ursae Majoris,5.03,402548.92,105927.973,14.06,1.172
planet,55 Cancri b,13.15,281958.821,085240.8627,12.554,0.1134
planet,70 Virginis b,4.97,134643.6430,132825.80819,17.91,0.481
planet,109 Piscium b,6.27,200459.3363,014455.8251,33.15,2.140
planet,Gamma Cephei Ab,3.21,773756.19,233920.852,13.79,2.05
planet,Iota Horologii b,5.40,504801.0562,024233.4665,17.33,0.91
planet,Tau Boötis b,4.50,172724.9,134715.74,15.62,0.049
planet,Upsilon Andromedae b,4.1,412419.6514,013647.84154,13.48,0.059222
planet,Upsilon Andromedae c,4.1,412419.6514,013647.84154,13.48,0.827774
planet,Upsilon Andromedae d,4.1,412419.6514,013647.84154,13.48,2.51329
nebula,Horsehead,6.8,022730.0,054059.0,422,3.5
nebula,Carina,1,595204,104508.5,2600,230
nebula,California,6,362518.0,040318.00,306.601,50
nebula,Crescent,7.4,382118,201207,1533.007,13
nebula,Helix,7.6,-205013.6,222938.55,200,2.87
nebula,Eagle,6.4,-134900,181848,1740,31.25
nebula,Flame,10,-01510.0,054154,415,6
nebula,Gum,12,-430000,080000,450,500
nebula,Heart,18.3,612636,023322,2299.51,165
nebula,Horsehead,6.8,-022730.0,054059.0,422,3.5
nebula,Lagoon,6,-242312,180337,1250,16.5
galaxy,Andromeda,3.44,411609,004244.3,778000,110000
galaxy,Centaurus A,6.84,-430109,132527.6,3000000,48500
galaxy,Triangulum,5.72,303936.7,013350.02,970000,30000
galaxy,Whirlpool,8.4,471143,132952.7,9.5046432079e6,30000
galaxy,Messier 58,9.7,114905,123743.5,19.1e6,58000
galaxy,Black Eye,8.52,214057.57,125643.696,5.30e6,26481
galaxy,Pinwheel,7.9,542057,140312.6,6.4e6,85000
galaxy,Sombrero,8,-113723,123959.4,9.55e6,25000
galaxy,Sculptor,8,-251718,004733,3.5e6,45000
galaxy,Tadpole,14.4,552532,160603.9,1.226405575214e8,195000
galaxy,Hoag's Object,16.2,213508,151714.4,1.879e8,60500
galaxy,Cartwheel,15.2,-334259,003741.1,1.5e8,64000
